Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
76,0,1,0,0,1,1,1,1,00c7,0,1,00,1,02d,58
77,1,0,0,0,0,1,1,0,00c7,1,1,00,1,02d,58
78,0,1,0,0,1,1,1,1,03cd,0,1,00,1,02e,58
79,1,0,0,0,0,1,1,0,03cd,1,1,00,1,02e,58
80,0,1,0,0,1,1,1,1,01b0,0,1,00,1,02f,58
81,1,0,0,0,0,1,1,0,01b0,1,1,00,1,02f,58
82,0,1,0,0,1,1,1,1,0003,0,1,00,1,030,58
83,1,0,0,0,0,1,1,0,0003,1,1,00,1,030,58
84,0,1,0,0,1,1,1,1,003a,0,1,00,1,031,58
85,1,0,0,0,0,1,1,0,003a,1,1,00,1,031,58
86,0,1,0,0,1,1,1,1,03ed,0,1,00,1,032,58
87,1,0,0,0,0,1,1,0,03ed,1,1,00,1,032,58
88,0,1,0,0,1,1,1,1,001e,0,1,00,1,033,58
89,1,0,0,0,0,1,1,0,001e,1,1,00,1,033,58
90,0,1,0,0,1,1,1,1,0297,0,1,00,1,034,58
91,1,0,0,0,0,1,1,0,0297,1,1,00,1,034,58
92,0,1,0,0,1,1,1,1,0061,0,1,00,1,035,58
93,1,0,0,0,0,1,1,0,0061,1,1,00,1,035,58
94,0,1,0,0,1,1,1,1,00ce,0,1,00,1,036,58
95,1,0,0,0,0,1,1,0,00ce,1,1,00,1,036,58
96,0,1,0,0,1,1,1,1,0009,0,1,00,1,037,58
97,1,0,0,0,0,1,1,0,0009,1,1,00,1,037,58
98,0,1,0,0,1,1,1,1,0008,0,1,00,1,038,58
99,1,0,0,0,0,1,1,0,0008,1,1,00,1,038,58
100,0,1,0,0,1,1,1,1,00fa,0,1,00,1,039,58
101,1,0,0,0,0,1,1,0,00fa,1,1,00,1,039,58
102,0,1,0,0,1,1,1,1,02c8,0,1,00,1,03a,58
103,1,0,0,0,0,1,1,0,02c8,1,1,00,1,03a,58
104,0,1,0,0,1,1,1,1,0355,0,1,00,1,03b,58
105,1,0,0,0,0,1,1,0,0355,1,1,00,1,03b,58
106,0,1,0,0,1,1,1,1,0168,0,1,00,1,03c,58
107,1,0,0,0,0,1,1,0,0168,1,1,00,1,03c,58
108,0,1,0,0,1,1,1,1,030d,0,1,00,1,03d,58
109,1,0,0,0,0,1,1,0,030d,1,1,00,1,03d,58
110,0,1,0,0,1,1,1,1,0015,0,1,00,1,03e,58
111,1,0,0,0,0,1,1,0,0015,1,1,00,1,03e,58
112,0,1,0,0,1,1,1,1,009f,0,1,00,1,03f,58
113,1,0,0,0,0,1,1,0,009f,1,1,00,1,03f,58
114,0,1,0,0,1,1,1,1,039c,0,1,00,1,040,58
115,1,0,0,0,0,1,1,0,039c,1,1,00,1,040,58
116,0,1,0,0,1,1,1,1,0000,0,1,00,1,041,58
117,1,0,0,0,0,1,1,0,0000,1,1,00,1,041,58
118,0,1,0,0,1,1,1,1,006e,0,1,00,1,042,58
119,1,0,0,0,0,1,1,0,006e,1,1,00,1,042,58
120,0,1,0,0,1,1,1,1,0000,0,1,00,1,043,58
121,1,0,0,0,0,1,1,0,0000,1,1,00,1,043,58
122,0,1,0,0,1,1,1,1,0153,0,1,00,1,044,58
123,1,0,0,0,0,1,1,0,0153,1,1,00,1,044,58
124,0,1,0,0,1,1,1,1,03ab,0,1,00,1,045,58
125,1,0,0,0,0,1,1,0,03ab,1,1,00,1,045,58
126,0,1,0,0,1,1,1,1,03de,0,1,00,1,046,58
127,1,0,0,0,0,1,1,0,03de,1,1,00,1,046,58
128,0,1,0,0,1,1,1,1,038e,0,1,00,1,047,58
129,1,0,0,0,0,1,1,0,038e,1,1,00,1,047,58
130,0,1,0,0,1,1,1,1,03ca,0,1,00,1,048,58
131,1,0,0,0,0,1,1,0,03ca,1,1,00,1,048,58
132,0,1,0,0,1,1,1,1,0076,0,1,00,1,049,58
133,1,0,0,0,0,1,1,0,0076,1,1,00,1,049,58
134,0,1,0,0,1,1,1,1,03db,0,1,00,1,04a,58
135,1,0,0,0,0,1,1,0,03db,1,1,00,1,04a,58
136,0,1,0,0,1,1,1,1,0253,0,1,00,1,04b,58
