Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
77,5,0,0,0,0,1,1,0,03a2,0,1,00,1,40,218
78,6,0,0,0,0,1,1,0,03a2,0,1,00,1,40,218
79,7,0,0,0,0,1,1,0,03a2,0,1,00,1,40,218
80,0,1,0,0,1,1,1,1,032e,0,1,00,1,41,216
81,1,0,0,0,0,1,1,0,032e,1,1,00,1,41,216
82,2,0,0,0,0,1,1,0,032e,0,1,00,1,41,217
83,3,0,0,0,0,1,1,0,032e,0,1,00,1,41,217
84,4,0,0,0,0,1,1,0,032e,1,1,00,1,41,217
85,5,0,0,0,0,1,1,0,032e,0,1,00,1,41,218
86,6,0,0,0,0,1,1,0,032e,0,1,00,1,41,218
87,7,0,0,0,0,1,1,0,032e,0,1,00,1,41,218
88,0,1,0,0,1,1,1,1,0319,0,1,00,1,42,216
89,1,0,0,0,0,1,1,0,0319,1,1,00,1,42,216
90,2,0,0,0,0,1,1,0,0319,0,1,00,1,42,217
91,3,0,0,0,0,1,1,0,0319,0,1,00,1,42,217
92,4,0,0,0,0,1,1,0,0319,1,1,00,1,42,217
93,5,0,0,0,0,1,1,0,0319,0,1,00,1,42,218
94,6,0,0,0,0,1,1,0,0319,0,1,00,1,42,218
95,7,0,0,0,0,1,1,0,0319,0,1,00,1,42,218
96,0,1,0,0,1,1,1,1,01e8,0,1,00,1,43,216
97,1,0,0,0,0,1,1,0,01e8,1,1,00,1,43,216
98,2,0,0,0,0,1,1,0,01e8,0,1,00,1,43,217
99,3,0,0,0,0,1,1,0,01e8,0,1,00,1,43,217
100,4,0,0,0,0,1,1,0,01e8,1,1,00,1,43,217
101,5,0,0,0,0,1,1,0,01e8,0,1,00,1,43,218
102,6,0,0,0,0,1,1,0,01e8,0,1,00,1,43,218
103,7,0,0,0,0,1,1,0,01e8,0,1,00,1,43,218
104,0,1,0,0,1,1,1,1,0029,0,1,00,1,44,216
105,1,0,0,0,0,1,1,0,0029,1,1,00,1,44,216
106,2,0,0,0,0,1,1,0,0029,0,1,00,1,44,217
107,3,0,0,0,0,1,1,0,0029,0,1,00,1,44,217
108,4,0,0,0,0,1,1,0,0029,1,1,00,1,44,217
109,5,0,0,0,0,1,1,0,0029,0,1,00,1,44,218
110,6,0,0,0,0,1,1,0,0029,0,1,00,1,44,218
111,7,0,0,0,0,1,1,0,0029,0,1,00,1,44,218
112,0,1,0,0,1,1,1,1,00c7,0,1,00,1,45,216
113,1,0,0,0,0,1,1,0,00c7,1,1,00,1,45,216
114,2,0,0,0,0,1,1,0,00c7,0,1,00,1,45,217
115,3,0,0,0,0,1,1,0,00c7,0,1,00,1,45,217
116,4,0,0,0,0,1,1,0,00c7,1,1,00,1,45,217
117,5,0,0,0,0,1,1,0,00c7,0,1,00,1,45,218
118,6,0,0,0,0,1,1,0,00c7,0,1,00,1,45,218
119,7,0,0,0,0,1,1,0,00c7,0,1,00,1,45,218
120,0,1,0,0,1,1,1,1,03cd,0,1,00,1,46,216
121,1,0,0,0,0,1,1,0,03cd,1,1,00,1,46,216
122,2,0,0,0,0,1,1,0,03cd,0,1,00,1,46,217
123,3,0,0,0,0,1,1,0,03cd,0,1,00,1,46,217
124,4,0,0,0,0,1,1,0,03cd,1,1,00,1,46,217
125,5,0,0,0,0,1,1,0,03cd,0,1,00,1,46,218
